Threshold,Precision_Late,Recall_Late,F1_Late
0.05,0.9382716049382716,1.0,0.9681528662420382
0.060000000000000005,0.9440993788819876,1.0,0.9712460063897763
0.07,0.95,1.0,0.9743589743589743
0.08000000000000002,0.9559748427672956,1.0,0.977491961414791
0.09000000000000001,0.9620253164556962,1.0,0.9806451612903225
0.1,0.9620253164556962,1.0,0.9806451612903225
0.11000000000000001,0.9620253164556962,1.0,0.9806451612903225
0.12000000000000001,0.9620253164556962,1.0,0.9806451612903225
0.13,0.9620253164556962,1.0,0.9806451612903225
0.14,0.9620253164556962,1.0,0.9806451612903225
0.15000000000000002,0.9620253164556962,1.0,0.9806451612903225
0.16000000000000003,0.9620253164556962,1.0,0.9806451612903225
0.17000000000000004,0.9620253164556962,1.0,0.9806451612903225
0.18000000000000005,0.9620253164556962,1.0,0.9806451612903225
0.19,0.9620253164556962,1.0,0.9806451612903225
0.2,0.9681528662420382,1.0,0.9838187702265372
0.21000000000000002,0.9681528662420382,1.0,0.9838187702265372
0.22000000000000003,0.9681528662420382,1.0,0.9838187702265372
0.23000000000000004,0.9681528662420382,1.0,0.9838187702265372
0.24000000000000005,0.9681528662420382,1.0,0.9838187702265372
0.25000000000000006,0.9743589743589743,1.0,0.987012987012987
0.26000000000000006,0.9743589743589743,1.0,0.987012987012987
0.27,0.9743589743589743,1.0,0.987012987012987
0.28,0.9743589743589743,1.0,0.987012987012987
0.29000000000000004,0.9743589743589743,1.0,0.987012987012987
0.30000000000000004,0.9743589743589743,1.0,0.987012987012987
0.31000000000000005,0.9743589743589743,1.0,0.987012987012987
0.32000000000000006,0.9743589743589743,1.0,0.987012987012987
0.33,0.9743589743589743,1.0,0.987012987012987
0.34,0.9743589743589743,1.0,0.987012987012987
0.35000000000000003,0.9743589743589743,1.0,0.987012987012987
0.36000000000000004,0.9743589743589743,1.0,0.987012987012987
0.37000000000000005,0.9806451612903225,1.0,0.990228013029316
0.38000000000000006,0.9806451612903225,1.0,0.990228013029316
0.39000000000000007,0.9805194805194806,0.993421052631579,0.9869281045751634
0.4000000000000001,0.9805194805194806,0.993421052631579,0.9869281045751634
0.4100000000000001,0.9869281045751634,0.993421052631579,0.9901639344262295
0.42000000000000004,0.9869281045751634,0.993421052631579,0.9901639344262295
0.43000000000000005,0.9869281045751634,0.993421052631579,0.9901639344262295
