Condition,Accuracy,F1,ROC_AUC,Accuracy_Drop,F1_Drop
Original,0.9533333333333334,0.9533333333333334,0.995154694167852,0.0,0.0
Dark,0.49333333333333335,0.6607142857142857,0.4950657894736842,0.46,0.29261904761904767
Bright,0.7,0.5631067961165048,0.9760846372688478,0.2533333333333334,0.39022653721682854
Contrast,0.8633333333333333,0.8783382789317508,0.9924431009957325,0.09000000000000008,0.0749950544015826
Blur,0.8733333333333333,0.8862275449101796,0.9884423897581792,0.08000000000000007,0.06710578842315373
Rotation,0.95,0.9491525423728814,0.9946657183499288,0.0033333333333334103,0.0041807909604519855
Noise,0.95,0.9491525423728814,0.993376600284495,0.0033333333333334103,0.0041807909604519855
