Model,Accuracy,Precision_Late,Recall_Late,Specificity_Early,F1_Late,Balanced_Accuracy,ROC_AUC,Average_Precision,Threshold,TN,FP,FN,TP
Logistic grayscale baseline,0.91,0.8903225806451613,0.9324324324324325,0.8881578947368421,0.9108910891089109,0.9102951635846372,0.9623933143669985,0.959687740919604,0.7000000000000002,135,17,10,138
Custom PotatoCNN,0.9533333333333334,0.9407894736842105,0.9662162162162162,0.9407894736842105,0.9533333333333334,0.9535028449502134,0.995154694167852,0.9953450517680983,0.38000000000000006,143,9,5,143
MobileNetV2 transfer,0.9966666666666667,1.0,0.9932432432432432,1.0,0.9966101694915255,0.9966216216216216,1.0,1.0000000000000002,0.6400000000000001,152,0,1,147
