Model,Accuracy,Precision_Late,Recall_Late,Specificity_Early,F1_Late,Balanced_Accuracy,ROC_AUC,Average_Precision,Threshold,TN,FP,FN,TP
Logistic grayscale baseline,0.4864864864864865,0.464,0.5523809523809524,0.42735042735042733,0.5043478260869565,0.4898656898656899,0.5044363044363045,0.49028597786526273,0.7000000000000002,50,67,47,58
Custom PotatoCNN,0.5135135135135135,0.42105263157894735,0.0761904761904762,0.905982905982906,0.12903225806451613,0.4910866910866911,0.5361416361416361,0.49006089890972593,0.38000000000000006,106,11,97,8
MobileNetV2 transfer,0.5855855855855856,0.589041095890411,0.4095238095238095,0.7435897435897436,0.48314606741573035,0.5765567765567765,0.621041921041921,0.5553513156808054,0.6400000000000001,87,30,62,43
